COD_MUN;REGION;NOM_MUN;TRASLADO DE RECURSOS DE APROVECHAMIENTO
15131;CENTRO ORIENTE;CALDAS;SIN APROVECHAMIENTO
15135;CENTRO ORIENTE;CAMPOHERMOSO;SIN APROVECHAMIENTO
15162;CENTRO ORIENTE;CERINZA;SIN APROVECHAMIENTO
15172;CENTRO ORIENTE;CHINAVITA;SIN APROVECHAMIENTO
15180;CENTRO ORIENTE;CHISCAS;SIN APROVECHAMIENTO
15183;CENTRO ORIENTE;CHITA;SIN APROVECHAMIENTO
15185;CENTRO ORIENTE;CHITARAQUE;SIN APROVECHAMIENTO
15187;CENTRO ORIENTE;CHIVATÁ;SIN APROVECHAMIENTO
15189;CENTRO ORIENTE;CIÉNEGA;SIN APROVECHAMIENTO
15204;CENTRO ORIENTE;CÓMBITA;SIN APROVECHAMIENTO
15212;CENTRO ORIENTE;COPER;SIN APROVECHAMIENTO
15215;CENTRO ORIENTE;CORRALES;SIN APROVECHAMIENTO
15218;CENTRO ORIENTE;COVARACHÍA;SIN APROVECHAMIENTO
15223;CENTRO ORIENTE;CUBARÁ;SIN APROVECHAMIENTO
15224;CENTRO ORIENTE;CUCAITA;SIN APROVECHAMIENTO
15226;CENTRO ORIENTE;CUÍTIVA;SIN APROVECHAMIENTO
15232;CENTRO ORIENTE;CHÍQUIZA;SIN APROVECHAMIENTO
15236;CENTRO ORIENTE;CHIVOR;SIN APROVECHAMIENTO
15244;CENTRO ORIENTE;EL COCUY;SIN APROVECHAMIENTO
15248;CENTRO ORIENTE;EL ESPINO;SIN APROVECHAMIENTO
15272;CENTRO ORIENTE;FIRAVITOBA;SIN APROVECHAMIENTO
15276;CENTRO ORIENTE;FLORESTA;SIN APROVECHAMIENTO
15293;CENTRO ORIENTE;GACHANTIVÁ;SIN APROVECHAMIENTO
15296;CENTRO ORIENTE;GÁMEZA;SIN APROVECHAMIENTO
15299;CENTRO ORIENTE;GARAGOA;SIN APROVECHAMIENTO
15317;CENTRO ORIENTE;GUACAMAYAS;SIN APROVECHAMIENTO
15322;CENTRO ORIENTE;GUATEQUE;SIN APROVECHAMIENTO
15325;CENTRO ORIENTE;GUAYATÁ;SIN APROVECHAMIENTO
15332;CENTRO ORIENTE;GÜICÁN DE LA SIERRA;SIN APROVECHAMIENTO
15362;CENTRO ORIENTE;IZA;SIN APROVECHAMIENTO
15367;CENTRO ORIENTE;JENESANO;SIN APROVECHAMIENTO
15368;CENTRO ORIENTE;JERICÓ;SIN APROVECHAMIENTO
15377;CENTRO ORIENTE;LABRANZAGRANDE;SIN APROVECHAMIENTO
15380;CENTRO ORIENTE;LA CAPILLA;SIN APROVECHAMIENTO
15401;CENTRO ORIENTE;LA VICTORIA;SIN APROVECHAMIENTO
15403;CENTRO ORIENTE;LA UVITA;SIN APROVECHAMIENTO
15425;CENTRO ORIENTE;MACANAL;SIN APROVECHAMIENTO
15442;CENTRO ORIENTE;MARIPÍ;SIN APROVECHAMIENTO
15455;CENTRO ORIENTE;MIRAFLORES;SIN APROVECHAMIENTO
15464;CENTRO ORIENTE;MONGUA;SIN APROVECHAMIENTO
15466;CENTRO ORIENTE;MONGUÍ;SIN APROVECHAMIENTO
15476;CENTRO ORIENTE;MOTAVITA;SIN APROVECHAMIENTO
15480;CENTRO ORIENTE;MUZO;SIN APROVECHAMIENTO
15491;CENTRO ORIENTE;NOBSA;SIN APROVECHAMIENTO
15494;CENTRO ORIENTE;NUEVO COLÓN;SIN APROVECHAMIENTO
15500;CENTRO ORIENTE;OICATÁ;SIN APROVECHAMIENTO
15507;CENTRO ORIENTE;OTANCHE;SIN APROVECHAMIENTO
15511;CENTRO ORIENTE;PACHAVITA;SIN APROVECHAMIENTO
15514;CENTRO ORIENTE;PÁEZ;SIN APROVECHAMIENTO
15518;CENTRO ORIENTE;PAJARITO;SIN APROVECHAMIENTO
15522;CENTRO ORIENTE;PANQUEBA;SIN APROVECHAMIENTO
15531;CENTRO ORIENTE;PAUNA;SIN APROVECHAMIENTO
